game_date,game_pk,team_game_number,at_bat_number,player_name,events,hit_distance_sc,distance_ft,venue_name,launch_speed,launch_angle,pitch_type,release_speed,home_team,away_team,inning,inning_topbot
2025-08-08,776824,117,57,"Raleigh, Cal",home_run,417.0,417.0,T-Mobile Park,108.1,28.0,ST,87.5,SEA,TB,8,Bot
2025-08-09,776805,118,22,"Raleigh, Cal",home_run,397.0,397.0,T-Mobile Park,107.3,27.0,FF,99.6,SEA,TB,3,Bot
2025-08-10,776791,119,6,"Raleigh, Cal",home_run,376.0,376.0,T-Mobile Park,112.9,23.0,SI,95.6,SEA,TB,1,Bot
2025-08-15,776736,123,23,"Raleigh, Cal",home_run,382.0,382.0,Citi Field,106.8,38.0,FF,92.4,NYM,SEA,3,Top
2025-08-17,776707,125,61,"Raleigh, Cal",home_run,338.0,338.0,Journey Bank Ballpark,94.8,34.0,FS,88.9,NYM,SEA,7,Top
2025-08-24,776602,131,5,"Raleigh, Cal",home_run,448.0,448.0,T-Mobile Park,110.9,32.0,FF,91.7,SEA,ATH,1,Bot
2025-08-24,776602,131,18,"Raleigh, Cal",home_run,412.0,412.0,T-Mobile Park,106.9,25.0,CH,83.6,SEA,ATH,2,Bot
2025-08-25,776595,132,6,"Raleigh, Cal",home_run,419.0,419.0,T-Mobile Park,107.2,30.0,FF,92.9,SEA,SD,1,Bot
2025-09-02,776485,139,26,"Raleigh, Cal",home_run,371.0,371.0,George M. Steinbrenner Field,102.9,26.0,FF,96.4,TB,SEA,4,Top
2025-09-06,776447,142,80,"Raleigh, Cal",home_run,418.0,418.0,Truist Park,106.8,35.0,FF,91.5,ATL,SEA,9,Top
2025-09-07,776428,143,77,"Raleigh, Cal",home_run,426.0,426.0,Truist Park,109.7,30.0,SL,90.0,ATL,SEA,9,Top
2025-09-14,776317,150,5,"Raleigh, Cal",home_run,409.0,409.0,T-Mobile Park,109.4,20.0,SI,84.6,SEA,LAA,1,Bot
2025-09-16,776302,151,20,"Raleigh, Cal",home_run,419.0,419.0,Kauffman Stadium,109.5,36.0,CU,76.3,KC,SEA,3,Top
2025-09-16,776302,151,34,"Raleigh, Cal",home_run,425.0,425.0,Kauffman Stadium,106.1,23.0,CH,85.8,KC,SEA,4,Top
2025-09-20,776248,155,19,"Raleigh, Cal",home_run,399.0,399.0,Daikin Park,105.6,25.0,SI,95.5,HOU,SEA,3,Top
2025-09-21,776228,156,15,"Raleigh, Cal",home_run,351.0,351.0,Daikin Park,107.6,27.0,CH,78.7,HOU,SEA,2,Top
2025-09-24,776194,158,5,"Raleigh, Cal",home_run,438.0,438.0,T-Mobile Park,110.9,33.0,FF,93.1,SEA,COL,1,Bot
2025-09-24,776194,158,63,"Raleigh, Cal",home_run,389.0,389.0,T-Mobile Park,108.7,24.0,FF,98.3,SEA,COL,8,Bot
2025-10-07,813056,165,68,"Raleigh, Cal",home_run,391.0,391.0,Comerica Park,105.9,24.0,SI,94.1,DET,SEA,9,Top
